Status Kahwin,Pendidikan Tertinggi,Pekerjaan (1 digit),2 Kereta,3 atau lebih Kereta,Penghawa Dingin,Komputer Riba,Telefon Bimbit,Saluran TV Berbayar,Langganan Internet,Penapis Air,Pemilikan Kediaman,Status Pemilikan,Bilangan Isi Rumah dalam Kediaman,Jumlah Pendapatan Isi Rumah,Gaji,cluster_label
2,30,9,0,0,0,1,1,0,0,0,1,1,1,1256,1256,1
2,20,0,0,0,0,1,1,0,0,0,1,1,1,1256,0,1
1,20,0,0,0,0,1,1,0,0,0,1,1,1,1256,0,1
1,10,0,0,0,0,1,1,0,0,0,1,1,1,1256,0,1
1,10,0,0,0,0,1,1,0,0,0,1,1,1,1256,0,1
2,20,8,1,0,0,0,1,1,0,1,1,1,1,1662,1662,1
2,30,0,1,0,0,0,1,1,0,1,1,1,1,1662,0,1
0,10,0,1,0,0,0,1,1,0,1,1,1,1,1662,0,1
0,0,0,1,0,0,0,1,1,0,1,1,1,1,1662,0,1
0,90,0,1,0,0,0,1,1,0,1,1,1,1,1662,0,1
2,30,9,0,0,0,0,1,1,0,0,1,1,1,1256,1256,1
2,30,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
1,10,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
0,10,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
0,10,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
0,90,0,0,0,0,0,1,1,0,0,1,1,1,1256,0,1
2,20,9,1,0,0,0,1,1,0,1,1,1,1,1256,1256,1
2,30,0,1,0,0,0,1,1,0,1,1,1,1,1256,0,1
1,40,0,1,0,0,0,1,1,0,1,1,1,1,1256,0,1
1,30,0,1,0,0,0,1,1,0,1,1,1,1,1256,0,1
1,20,0,1,0,0,0,1,1,0,1,1,1,1,1256,0,1
1,10,0,1,0,0,0,1,1,0,1,1,1,1,1256,0,1
0,10,0,1,0,0,0,1,1,0,1,1,1,1,1256,0,1
3,90,0,1,0,0,0,1,1,0,1,1,1,1,1256,0,1
2,30,9,0,0,0,0,1,0,0,0,9,1,1,1256,1256,1
1,30,0,0,0,0,0,1,0,0,0,9,1,1,1256,0,1
1,20,0,0,0,0,0,1,0,0,0,9,1,1,1256,0,1
1,10,0,0,0,0,0,1,0,0,0,9,1,1,1256,0,1
2,30,8,0,0,0,1,1,1,0,1,1,1,1,1662,1662,1
2,30,0,0,0,0,1,1,1,0,1,1,1,1,1662,0,1
1,30,0,0,0,0,1,1,1,0,1,1,1,1,1662,0,1
1,20,0,0,0,0,1,1,1,0,1,1,1,1,1662,0,1
1,10,0,0,0,0,1,1,1,0,1,1,1,1,1662,0,1
0,10,0,0,0,0,1,1,1,0,1,1,1,1,1662,0,1
0,0,0,0,0,0,1,1,1,0,1,1,1,1,1662,0,1
0,90,0,0,0,0,1,1,1,0,1,1,1,1,1662,0,1
3,10,0,0,0,0,0,0,0,0,0,2,1,1,6967,0,0
1,20,0,0,0,0,0,0,0,0,0,9,1,1,20901,0,0
2,20,7,0,0,0,0,1,0,0,0,2,3,1,5076,1692,2
2,20,0,0,0,0,0,1,0,0,0,2,3,1,5076,0,2
1,50,7,0,0,0,0,1,0,0,0,2,3,1,5076,1692,2
1,50,7,0,0,0,0,1,0,0,0,2,3,1,5076,1692,2
1,30,0,0,0,0,0,1,0,0,0,2,3,1,5076,0,2
2,30,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2,20,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
1,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
0,10,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2,20,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1
2,20,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1
2,90,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1
1,40,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1
3,90,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
1,30,7,0,0,0,0,0,0,0,0,1,1,1,1692,1692,1
3,90,0,0,0,0,0,0,0,0,0,1,1,1,1692,0,1
2,30,0,0,1,0,0,1,0,0,0,2,1,1,6967,0,0
1,20,0,0,1,0,0,1,0,0,0,2,1,1,6967,0,0
1,20,0,0,1,0,0,1,0,0,0,2,1,1,6967,0,0
1,10,0,0,1,0,0,1,0,0,0,2,1,1,6967,0,0
2,10,9,0,0,0,0,0,0,0,0,1,1,1,1256,1256,1
2,10,0,0,0,0,0,0,0,0,0,1,1,1,1256,0,1
2,20,6,1,0,0,0,0,0,0,0,1,1,1,1562,1562,1
2,30,0,1,0,0,0,0,0,0,0,1,1,1,1562,0,1
1,30,0,1,0,0,0,0,0,0,0,1,1,1,1562,0,1
1,20,0,1,0,0,0,0,0,0,0,1,1,1,1562,0,1
0,0,0,1,0,0,0,0,0,0,0,1,1,1,1562,0,1
0,10,0,1,0,0,0,0,0,0,0,1,1,1,1562,0,1
0,10,0,1,0,0,0,0,0,0,0,1,1,1,1562,0,1
2,0,5,0,0,0,0,0,0,0,0,9,1,1,1629,1629,1
0,10,0,0,0,0,0,0,0,0,0,9,1,1,1629,0,1
0,0,0,0,0,0,0,0,0,0,0,9,1,1,1629,0,1
0,0,0,0,0,0,0,0,0,0,0,9,1,1,1629,0,1
2,90,0,0,0,0,0,0,0,0,0,9,1,1,6967,0,0
2,20,7,0,0,0,0,1,0,0,0,1,3,1,8659,1692,0
1,10,0,0,0,0,0,1,0,0,0,1,3,1,8659,0,0
0,10,0,0,0,0,0,1,0,0,0,1,3,1,8659,0,0
2,10,8,0,0,0,0,0,1,0,0,1,1,1,32884,1662,0
2,30,7,0,0,0,0,0,1,0,0,1,1,1,32884,1692,0
2,30,0,0,0,0,0,0,1,0,0,1,1,1,32884,0,0
1,30,8,0,0,0,0,0,1,0,0,1,1,1,32884,1662,0
1,20,0,0,0,0,0,0,1,0,0,1,1,1,32884,0,0
1,10,0,0,0,0,0,0,1,0,0,1,1,1,32884,0,0
2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
0,90,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1
2,20,0,1,0,0,0,1,0,0,0,1,1,1,1662,0,1
2,20,8,1,0,0,0,1,0,0,0,1,1,1,1662,1662,1
1,30,0,1,0,0,0,1,0,0,0,1,1,1,1662,0,1
1,30,0,1,0,0,0,1,0,0,0,1,1,1,1662,0,1
0,10,0,1,0,0,0,1,0,0,0,1,1,1,1662,0,1
2,30,9,0,0,0,0,1,0,0,1,1,1,1,1256,1256,1
2,30,0,0,0,0,0,1,0,0,1,1,1,1,1256,0,1
1,10,0,0,0,0,0,1,0,0,1,1,1,1,1256,0,1
2,30,0,1,0,1,1,1,1,1,1,1,1,1,6967,0,0
1,20,0,1,0,1,1,1,1,1,1,1,1,1,6967,0,0
1,10,0,1,0,1,1,1,1,1,1,1,1,1,6967,0,0
2,10,9,0,0,0,0,1,0,0,0,1,1,1,5972,1256,2
2,10,0,0,0,0,0,1,0,0,0,1,1,1,5972,0,2
2,30,8,0,0,0,0,1,0,0,0,1,1,1,5972,1662,2
2,30,0,0,0,0,0,1,0,0,0,1,1,1,5972,0,2
1,30,3,0,0,0,0,1,0,0,0,1,1,1,5972,3054,2
1,20,0,0,0,0,0,1,0,0,0,1,1,1,5972,0,2
0,90,0,0,0,0,0,1,0,0,0,1,1,1,5972,0,2
2,30,9,0,0,0,0,1,0,0,0,1,1,1,4310,1256,2
2,10,0,0,0,0,0,1,0,0,0,1,1,1,4310,0,2
1,40,3,0,0,0,0,1,0,0,0,1,1,1,4310,3054,2
1,30,0,0,0,0,0,1,0,0,0,1,1,1,4310,0,2
1,20,0,0,0,0,0,1,0,0,0,1,1,1,4310,0,2
1,10,0,0,0,0,0,1,0,0,0,1,1,1,4310,0,2
2,30,0,0,0,0,0,0,1,0,0,1,1,1,6967,0,0
0,90,0,0,0,0,0,0,1,0,0,1,1,1,6967,0,0
0,90,0,0,0,0,0,0,1,0,0,1,1,1,6967,0,0
3,90,0,0,0,0,0,0,1,0,0,1,1,1,6967,0,0
2,30,5,1,0,1,1,1,1,1,1,1,1,1,1629,1629,1
2,60,0,1,0,1,1,1,1,1,1,1,1,1,1629,0,1
1,60,0,1,0,1,1,1,1,1,1,1,1,1,1629,0,1
2,30,7,0,1,0,1,1,0,0,1,1,1,1,1692,1692,1
2,30,0,0,1,0,1,1,0,0,1,1,1,1,1692,0,1
1,20,0,0,1,0,1,1,0,0,1,1,1,1,1692,0,1
1,10,0,0,1,0,1,1,0,0,1,1,1,1,1692,0,1
0,10,0,0,1,0,1,1,0,0,1,1,1,1,1692,0,1
0,90,0,0,1,0,1,1,0,0,1,1,1,1,1692,0,1
2,10,9,0,0,0,0,1,0,0,0,9,1,1,22157,1256,0
1,30,0,0,0,0,0,1,0,0,0,9,1,1,22157,0,0
3,10,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1
1,30,3,0,0,0,0,0,0,0,0,1,1,1,6108,3054,2
1,30,3,0,0,0,0,0,0,0,0,1,1,1,6108,3054,2
2,30,9,0,0,0,0,1,0,0,0,1,1,1,2918,1256,2
2,30,8,0,0,0,0,1,0,0,0,1,1,1,2918,1662,2
1,20,0,0,0,0,0,1,0,0,0,1,1,1,2918,0,2
1,10,0,0,0,0,0,1,0,0,0,1,1,1,2918,0,2
0,90,0,0,0,0,0,1,0,0,0,1,1,1,2918,0,2
2,30,8,0,0,0,0,1,0,0,0,1,1,1,1662,1662,1
2,30,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
3,90,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
1,10,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
1,10,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
0,10,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
0,0,0,0,0,0,0,1,0,0,0,1,1,1,1662,0,1
2,40,0,0,0,0,1,1,0,0,0,1,1,1,4776,0,2
1,40,0,0,0,0,1,1,0,0,0,1,1,1,4776,0,2
1,30,0,0,0,0,1,1,0,0,0,1,1,1,4776,0,2
1,10,0,0,0,0,1,1,0,0,0,1,1,1,4776,0,2
0,90,0,0,0,0,1,1,0,0,0,1,1,1,4776,0,2
2,10,6,0,0,0,0,1,0,0,0,1,1,1,1562,1562,1
2,10,0,0,0,0,0,1,0,0,0,1,1,1,1562,0,1
2,30,0,1,0,0,0,1,0,0,0,1,1,1,4776,0,2
1,30,0,1,0,0,0,1,0,0,0,1,1,1,4776,0,2
1,20,0,1,0,0,0,1,0,0,0,1,1,1,4776,0,2
0,0,0,1,0,0,0,1,0,0,0,1,1,1,4776,0,2
0,90,0,1,0,0,0,1,0,0,0,1,1,1,4776,0,2
3,10,9,1,0,0,0,1,1,0,0,1,1,1,11961,1256,0
1,10,5,1,0,0,0,1,1,0,0,1,1,1,11961,1629,0
1,30,4,1,0,0,0,1,1,0,0,1,1,1,11961,2109,0
3,90,0,0,0,0,0,0,0,0,0,1,1,1,1256,0,1
1,20,9,0,0,0,0,0,0,0,0,1,1,1,1256,1256,1
2,90,0,1,0,0,0,1,1,0,0,1,1,1,4204,0,2
2,90,0,1,0,0,0,1,1,0,0,1,1,1,4204,0,2
2,30,7,1,0,0,0,1,1,0,0,1,1,1,4204,1692,2
2,30,0,1,0,0,0,1,1,0,0,1,1,1,4204,0,2
0,90,0,1,0,0,0,1,1,0,0,1,1,1,4204,0,2
0,90,0,1,0,0,0,1,1,0,0,1,1,1,4204,0,2
1,30,9,1,0,0,0,1,1,0,0,1,1,1,4204,1256,2
1,60,9,1,0,0,0,1,1,0,0,1,1,1,4204,1256,2
1,60,0,1,0,0,0,1,1,0,0,1,1,1,4204,0,2
